id,itemName,stackSize
e2931148-8427-4d6e-a800-a1c15e8bf68d,oak_stairs,64
27829003-881b-4f2d-97fc-c96c6fc2a161,tuff_stairs,64
34bcab5d-07b6-4851-adc6-ced2b101351d,stone_stairs,64
9a1bca6a-cc47-4785-9024-240cede46bf9,brick_stairs,64
da6cf887-63cd-438e-a4ce-bcb34efc3a87,birch_stairs,64
5c5bc18a-6db8-4c6e-9a1d-c864daf79127,acacia_stairs,64
aa71af61-851b-4d28-8877-fc639433b329,spruce_stairs,64
bfff5abe-607a-4c50-80b6-3418666008a9,cherry_stairs,64
d864203f-67a4-4b46-bff3-ed9d18b6c2fb,quartz_stairs,64
df0a11e8-7bfb-4bef-afd7-3330f4f39773,jungle_stairs,64
e7e4e794-d6bc-4396-a808-246cce98e41c,purpur_stairs,64
e88432cc-3014-4143-ab5c-82892c6c5c4f,warped_stairs,64
f26e52d2-57bf-466e-aab3-ce9ef6b73093,bamboo_stairs,64
38cd6c08-4ab3-48b7-8381-8d0ccfd02138,granite_stairs,64
7d814411-fffb-4973-b811-c02b572ac025,crimson_stairs,64
83ec3c53-f1de-4ca4-bee1-b2048ed2b183,diorite_stairs,64
264f76c7-ffc0-40b1-bb57-f0662068576d,andesite_stairs,64
309dce39-b9b2-4e89-9ee5-9885910f4b56,pale_oak_stairs,64
6d22ecc2-0280-4193-b038-ba653199587e,dark_oak_stairs,64
a0cddc48-cd75-45cd-9f47-d2d80724afc0,mangrove_stairs,64
4140a7da-a577-42b3-a2cf-aca3bd19bb36,mud_brick_stairs,64
d750310a-d6fb-4e33-9677-d970ea6d4884,sandstone_stairs,64
3bc553bb-0e4c-4e5c-8d19-4ab04443f4ba,blackstone_stairs,64
3c73f367-7c7b-4410-b65f-f95be6263e2a,cut_copper_stairs,64
b73ee11b-aa09-4035-9f1f-49de5c20cec8,prismarine_stairs,64
4e11f824-4e73-45a0-885f-a0e16266d1a8,stone,64
be535449-a734-43f4-b487-a2a7bbb2ceeb,redstone,64
135478e3-b9fd-4be5-a26d-4b4f8e697f60,end_stone,64
2d9d4e81-3f1b-4c37-9085-aebbdf8138ec,glowstone,64
4b165af3-ec1b-4314-abf4-f8247d5edcd3,stone_hoe,1
65e09e3d-3ecf-483c-bbe1-353dae4c10f4,lodestone,64
8cee47e6-caf1-40a5-b270-7fbf90aa30d8,sandstone,64
e18407de-42b7-458b-984a-2992071efd32,stone_axe,1
24ff79a7-52e6-4010-b304-ce6d6283051c,blackstone,64
68374d8d-a5a1-419e-b07a-31a207a5671c,grindstone,64
d5cf5e62-ab0a-4820-86e8-a83795001e57,stone_slab,64
2f5d90e3-2672-452f-9f07-e244fd363d4d,cobblestone,64
6e087e6a-6e47-40a1-893b-0c32125fd07c,stone_spear,1
992c5dc6-278e-458b-a016-85a55cd791f6,stone_sword,1
